codigo;nome;uf;estado
2599;ITABIRITO;MG;MINAS GERAIS
3195;ITABORAI;RJ;RIO DE JANEIRO
1997;ITABUNA;BA;BAHIA
370;ITACAJA;TO;TOCANTIS
2600;ITACAMBIRA;MG;MINAS GERAIS
2601;ITACARAMBI;MG;MINAS GERAIS
1998;ITACARE;BA;BAHIA
103;ITACOATIARA;AM;AMAZONAS
1541;ITACURUBA;PE;PERNAMBUCO
4793;ITACURUBI;RS;RIO GRANDE DO SUL
1999;ITAETE;BA;BAHIA
2000;ITAGI;BA;BAHIA
2001;ITAGIBA;BA;BAHIA
2002;ITAGIMIRIM;BA;BAHIA
3123;ITAGUACU;ES;ESPÍRITO SANTO
2003;ITAGUACU DA BAHIA;BA;BAHIA
3196;ITAGUAI;RJ;RIO DE JANEIRO
4057;ITAGUAJE;PR;PARANÁ
2602;ITAGUARA;MG;MINAS GERAIS
5377;ITAGUARI;GO;GOIÁS
5378;ITAGUARU;GO;GOIÁS
371;ITAGUATINS;TO;TOCANTIS
3507;ITAI;SP;SÃO PAULO
1542;ITAIBA;PE;PERNAMBUCO
972;ITAICABA;CE;CEARA
763;ITAINOPOLIS;PI;PIAUI
4426;ITAIOPOLIS;SC;SANTA CATARINA
540;ITAIPAVA DO GRAJAU;MA;MARANHÃO
2603;ITAIPE;MG;MINAS GERAIS
4058;ITAIPULANDIA;PR;PARANÁ
973;ITAITINGA;CE;CEARA
209;ITAITUBA;PA;PARA
5379;ITAJA;GO;GOIÁS
1125;ITAJA;RN;RIO GRANDE DO NORTE
4427;ITAJAI;SC;SANTA CATARINA
3508;ITAJOBI;SP;SÃO PAULO
3509;ITAJU;SP;SÃO PAULO
2004;ITAJU DO COLONIA;BA;BAHIA
2604;ITAJUBA;MG;MINAS GERAIS
2005;ITAJUIPE;BA;BAHIA
3197;ITALVA;RJ;RIO DE JANEIRO
1543;ITAMARACA;PE;PERNAMBUCO
2006;ITAMARAJU;BA;BAHIA
2605;ITAMARANDIBA;MG;MINAS GERAIS
104;ITAMARATI;AM;AMAZONAS
2606;ITAMARATI DE MINAS;MG;MINAS GERAIS
2007;ITAMARI;BA;BAHIA
2607;ITAMBACURI;MG;MINAS GERAIS
4059;ITAMBARACA;PR;PARANÁ
1544;ITAMBE;PE;PERNAMBUCO
2008;ITAMBE;BA;BAHIA
4060;ITAMBE;PR;PARANÁ
2608;ITAMBE DO MATO DENTRO;MG;MINAS GERAIS
2609;ITAMOGI;MG;MINAS GERAIS
2610;ITAMONTE;MG;MINAS GERAIS
2009;ITANAGRA;BA;BAHIA
3510;ITANHAEM;SP;SÃO PAULO
2611;ITANHANDU;MG;MINAS GERAIS
2010;ITANHEM;BA;BAHIA
2612;ITANHOMI;MG;MINAS GERAIS
2613;ITAOBIM;MG;MINAS GERAIS
3511;ITAOCA;SP;SÃO PAULO
3198;ITAOCARA;RJ;RIO DE JANEIRO
5380;ITAPACI;GO;GOIÁS
974;ITAPAGE;CE;CEARA
2614;ITAPAGIPE;MG;MINAS GERAIS
2011;ITAPARICA;BA;BAHIA
2012;ITAPE;BA;BAHIA
2013;ITAPEBI;BA;BAHIA
2615;ITAPECERICA;MG;MINAS GERAIS
3512;ITAPECERICA DA SERRA;SP;SÃO PAULO
541;ITAPECURU MIRIM;MA;MARANHÃO
4061;ITAPEJARA D'OESTE;PR;PARANÁ
4428;ITAPEMA;SC;SANTA CATARINA
3124;ITAPEMIRIM;ES;ESPÍRITO SANTO
4062;ITAPERUCU;PR;PARANÁ
3199;ITAPERUNA;RJ;RIO DE JANEIRO
1545;ITAPETIM;PE;PERNAMBUCO
2014;ITAPETINGA;BA;BAHIA
3513;ITAPETININGA;SP;SÃO PAULO
2616;ITAPEVA;MG;MINAS GERAIS
3514;ITAPEVA;SP;SÃO PAULO
3515;ITAPEVI;SP;SÃO PAULO
2015;ITAPICURU;BA;BAHIA
975;ITAPIPOCA;CE;CEARA
3516;ITAPIRA;SP;SÃO PAULO
